stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
4220,臺南,Tainan,臺南,Tainan,臺南市東區成大里北門路二段4號,"No. 4, Sec. 2, Beimen Rd., East Dist., Tainan City",06-2261314,22.99719 120.21249,Y
4250,保安,Bao'an,保安,Bao'an,臺南市仁德區保安里文賢路一段 529 巷 10 號,"No. 10, Ln. 529, Sec. 1, Wenxian Rd., Rende Dist., Tainan City",06-2665988,22.93296 120.23158,Y
4260,仁德,Rende,仁德,Rende,臺南市仁德區保安里永德路 10 號,"No. 10, Yongde Rd., Rende Dist., Tainan City",06-2669383,22.92354 120.24054,N
4270,中洲,Zhongzhou,中洲,Zhongzhou,臺南市仁德區中洲五街236號,"No. 236, Zhongzhou 5th St., Rende Dist., Tainan City",06-2667191,22.90446 120.25284,Y
4271,長榮大學,Chang Jung Christian University,長榮大學,Chang Jung Christian University,臺南市歸仁區大潭里長大路15 號,"No. 15, Changda Rd., Guiren Dist., Tainan City",06-2782615,22.90729 120.27263,N
4272,沙崙,Shalun,沙崙,Shalun,臺南市歸仁區沙崙里歸仁大道 102 號,"No. 102, Guiren Blvd., Guiren Dist., Tainan City",06-3032686,22.92407 120.28622,N
4290,大湖,Dahu,大湖,Dahu,高雄市路竹區甲南里天祐路 24 號,"No. 24, Tianyou Rd., Luzhu Dist., Kaohsiung City",07-6932127,22.87821 120.25384,Y
4300,路竹,Luzhu,路竹,Luzhu,高雄市路竹區竹南里中正路 288 號,"No. 288, Zhongzheng Rd., Luzhu Dist., Kaohsiung City",07-6072723,22.85404 120.26619,Y
4310,岡山,Gangshan,岡山,Gangshan,高雄市岡山區碧紅里岡燕路 111 號,"No. 111, Gangyan Rd., Gangshan Dist., Kaohsiung City",07-6212074,22.79224 120.29997,Y
4320,橋頭,Qiaotou,橋頭,Qiaotou,高雄市橋頭區橋頭里站前街 14 號,"No. 14, Zhanqian St., Qiaotou Dist., Kaohsiung City",07-6115424,22.76098 120.31011,Y
4330,楠梓,Nanzi,楠梓,Nanzi,高雄市楠梓區惠楠里建楠路 229 號,"No. 229, Jiannan Rd., Nanzi Dist., Kaohsiung City",07-3510175,22.72696 120.32425,Y
4340,新左營,Xinzuoying,新左營,Xinzuoying,高雄市左營區尾北里站前北路 1 號,"No. 1, Zhanqian N. Rd., Zuoying Dist., Kaohsiung City",07-5887825,22.68754 120.30678,Y
4350,左營,Zuoying,左營,Zuoying,高雄市左營區翠華路1050號地下1層,"B1F., No. 1050, Cuihua Rd, Zuoying Dist., Kaohsiung City",07-5887835,22.67445 120.29401,Y
4360,內惟,Neiwei,內惟,Neiwei,高雄市鼓山區翠華路500號地下1層,"B1F., No. 500, Cuihua Rd., Gushan Dist., Kaohsiung City",07-5886119,22.66589 120.287,Y
4370,美術館,Museum of Fine Arts,美術館,Museum of Fine Arts,高雄市鼓山區翠華路246號,"No.246, Cuihua Rd., Gushan Dist., Kaohsiung City",07-5215147,22.65185 120.28148,Y
4380,鼓山,Gushan,鼓山,Gushan,高雄市鼓山區鐵路街20巷6號,"No.6, Ln. 20, Railway St., Gushan Dist., Kaohsiung City",07-5217014,22.64181 120.28071,N
4390,三塊厝,Sankuaicuo,三塊厝,Sankuaicuo,高雄市三民區德北里6鄰康平街1號,"No.1, Kangping St., Sanmin Dist., Kaohsiung City",07-2856234,22.63931 120.29414,Y
4400,高雄,Kaohsiung,高雄,Kaohsiung,高雄市三民區港西里建國二路 318 號,"No. 318, Jianguo 2nd Rd., Sanmin Dist., Kaohsiung City",07-2352376,22.63946 120.30292,Y
4410,民族,Minzu,民族,Minzu,高雄市三民區博惠里14鄰凱旋一路260號,"No.260, Kaisyuan 1st Rd., Sanmin Dist., Kaohsiung City",07-2231492,22.63879 120.31494,Y
4420,科工館,Science And Technology Museum,科工館,Science And Technology Museum,高雄市三民區寶盛里15鄰大順三路307號,"No. 307, Dashun 3rd Rd., Sanmin Dist., Kaohsiung City",07-2234778,22.63709 120.32603,Y
4430,正義,Zhengyi,正義,Zhengyi,高雄市苓雅區建軍里正義路 308 號 B1,", Lingya Dist., Kaohsiung City",07-7999818,22.63425 120.34245,Y
4440,鳳山,Fongshan,鳳山,Fongshan,高雄市鳳山區曹公里曹公路 137 號,"No. 137, Caogong Rd., Fengshan Dist., Kaohsiung City",07-7460423,22.63145 120.35745,Y
4450,後庄,Houzhuang,後庄,Houzhuang,高雄市大寮區後庄里民慶街 9 號,"No. 9, Minqing St., Daliao Dist., Kaohsiung City",07-7020149,22.64016 120.39131,N
4460,九曲堂,Jiuqutang,九曲堂,Jiuqutang,高雄市大樹區久堂里久堂路鐵路巷 15 號,"No. 15, Railway Ln., Jiutang Rd., Dashu Dist., Kaohsiung City",07-6512020,22.65641 120.42089,Y
4470,六塊厝,Liukuaicuo,六塊厝,Liukuaicuo,屏東縣屏東市長安里光復路 392 號,"No. 392, Guangfu Rd., Pingdong City, Pingtung County",08-7515140,22.66597 120.46497,N
5000,屏東,Pingtung,屏東,Pingtung,屏東縣屏東市建國里公勇路 62 號,"No. 62, Gongyong Rd., Pingdong City, Pingtung County",08-7515140,22.66905 120.48617,Y
5010,歸來,Guilai,歸來,Guilai,屏東縣屏東市歸心里歸仁路 5 之 4 號,"No. 5-4, Guiren Rd., Pingdong City, Pingtung County",08-7515140,22.65218 120.50283,N
5020,麟洛,Linluo,麟洛,Linluo,屏東縣麟洛鄉田道村中華路站前巷 15 號,"No. 15, Zhanqian Ln., Zhonghua Rd., Linluo Township, Pingtung County",08-7515140,22.63481 120.51432,N
5030,西勢,Xishi,西勢,Xishi,屏東縣竹田鄉西勢村西豐路 2 號,"No. 2, Xifeng Rd., Zhutian Township, Pingtung County",08-7784521,22.61643 120.52661,Y
5040,竹田,Zhutian,竹田,Zhutian,屏東縣竹田鄉履豐村豐明路29 號,"No. 27-1, Fengming Rd., Zhutian Township, Pingtung County",08-7711002,22.58648 120.54009,N
5050,潮州,Chaozhou,潮州,Chaozhou,屏東縣潮州鎮新榮里信義路 111 號,"No. 111, Xinyi Rd., Chaozhou Township, Pingtung County",08-7882739,22.55008 120.5363,Y
5060,崁頂,Kanding,崁頂,Kanding,屏東縣崁頂鄉崁頂村田寮路,"No. 122, Zhongzheng Rd., Kanding Township, Pingtung County",08-7882739,22.51311 120.51481,N
5070,南州,Nanzhou,南州,Nanzhou,屏東縣南州鄉仁里村仁里路 86 號,"No. 86, Renli Rd., Nanzhou Township, Pingtung County",08-8642942,22.49207 120.51174,Y
5080,鎮安,Zhen'an,鎮安,Zhen'an,屏東縣林邊鄉鎮安村永和路 4 號,"No. 4, Yonghe Rd., Linbian Township, Pingtung County",08-8642942,22.45794 120.51129,N
5090,林邊,Linbian,林邊,Linbian,屏東縣林邊鄉仁和村仁愛路 33 號,"No. 33, Ren’ai Rd., Linbian Township, Pingtung County",08-8751475,22.43144 120.51535,Y
5100,佳冬,Jiadong,佳冬,Jiadong,屏東縣佳冬鄉六根村復興路21號,"No. 21, Fuxing Rd., Jiadong Township, Pingtung County",08-8662939,22.41409 120.54774,N
5110,東海,Donghai,東海,Donghai,屏東縣枋寮鄉東海村西安路 92 號,"No. 92, Xi’an Rd., Fangliao Township, Pingtung County",08-8782041,22.39897 120.57236,N
5120,枋寮,Fangliao,枋寮,Fangliao,屏東縣枋寮鄉枋寮村儲運路 18 號,"No. 18, Chuyun Rd., Fangliao Township, Pingtung County",08-8782041,22.36802 120.5951,Y
5130,加祿,Jialu,加祿,Jialu,屏東縣枋山鄉加祿村會社 53 號,"No. 53, Huishe, Fangshan Township, Pingtung County",08-8720791,22.33085 120.62445,Y
5140,內獅,Neishi,內獅,Neishi,屏東縣枋山鄉加祿村南和 43 號,"No. 43, Nanhe, Fangshan Township, Pingtung County",08-8720791,22.30617 120.64331,N
5160,枋山,Fangshan,枋山,Fangshan,屏東縣獅子鄉內獅村內獅巷 84 號,"No. 84, Neishi Ln., Shizi Township, Pingtung County",08-8720791,22.26704 120.65947,N
5170,枋野,Fangye,枋野,Fangye,屏東縣獅子鄉內獅村內獅巷 88 號,"No. 88, Neishi Ln., Shizi Township, Pingtung County",08-8761953,22.28091 120.71709,N
5190,大武,Dawu,大武,Dawu,臺東縣大武鄉大鳥村和平部落 33 號,"No. 33, Ku Shu Shu, Dawu Township, Taitung County",089-792056,22.36526 120.90094,Y
5200,瀧溪,Longxi,瀧溪,Longxi,臺東縣太麻里鄉多良村大溪 37 號,"No. 37, Daxi, Taimali Township, Taitung County",089-761482,22.46102 120.94176,Y
5210,金崙,Jinlun,金崙,Jinlun,臺東縣太麻里鄉金崙村金崙 47 之 17 號,"No. 47-17, Jinlun, Taimali Township, Taitung County",089-771068,22.53161 120.96721,Y
5220,太麻里,Taimali,太麻里,Taimali,臺東縣太麻里鄉大王村站前路 2 號,"No. 2, Zhanqian Rd., Taimali Township, Taitung County",089-781544,22.61879 121.00501,Y
5230,知本,Zhiben,知本,Zhiben,臺東縣臺東市知本里知本路二段 900 巷 85 號,"No. 85, Ln. 900, Sec. 2, Zhiben Rd., Taidong City, Taitung County",089-514482,22.71022 121.06068,Y
5240,康樂,Kangle,康樂,Kangle,臺東縣臺東市康樂里博物館路 51 巷 131 號,"No. 131, Ln. 51, Museum Rd., Taidong City, Taitung County",089-383107,22.76426 121.09356,Y
5998,南方小站,South,南方小站,South,屏東縣潮州鎮光復路 461 號,", Chaozhou Township, Pingtung County",,22.52755 120.53658,N
5999,潮州基地,Chaozhou Railway Workshop,潮州基地,Chaozhou Railway Workshop,屏東縣潮州鎮光春里光復路 616 號,"No. 616, Guangfu Rd., Chaozhou Township, Pingtung County",08-7889880,22.52231 120.52642,N
6000,臺東,Taitung,臺東,Taitung,臺東縣臺東市岩灣里岩灣路 101 巷 598 號,"No. 598, Ln. 101, Yanwan Rd., Taidong City, Taitung County",089-229687,22.79371 121.12337,Y
6010,山里,Shanli,山里,Shanli,臺東縣卑南鄉嘉豐村山里路 108 號,"No. 108, Shanli Rd., Beinan Township, Taitung County",089-572370,22.86194 121.13778,N
6020,鹿野,Luye,鹿野,Luye,臺東縣鹿野鄉鹿野村中正路 38 號,"No. 38, Zhongzheng Rd., Luye Township, Taitung County",089-550217,22.91249 121.137,Y
6030,瑞源,Ruiyuan,瑞源,Ruiyuan,臺東縣鹿野鄉瑞源村瑞景路一段 336 巷 8 號 之 1,"No. 8-1, Ln. 336, Sec. 1, Ruijing Rd., Luye Township, Taitung County",089-580159,22.956 121.15896,Y
6040,瑞和,Ruihe,瑞和,Ruihe,臺東縣鹿野鄉瑞和村瑞景路三段 1 之 1 號,"No. 1-1, Sec. 3, Ruijing Rd., Luye Township, Taitung County",089-580159,22.98111 121.15584,N
6050,關山,Guanshan,關山,Guanshan,臺東縣關山鎮里壠里博愛路 2 號,"No. 2, Bo’ai Rd., Guanshan Township, Taitung County",089-811033,23.04566 121.1643,Y
6060,海端,Haiduan,海端,Haiduan,臺東縣關山鎮德高里西莊 49 號,"No. 49, Xizhuang, Guanshan Township, Taitung County",089-811033,23.10292 121.17676,N
6070,池上,Chishang,池上,Chishang,臺東縣池上鄉福文村鐵花路 30 號,"No. 30, Tiehua Rd., Chishang Township, Taitung County",089-862097,23.12605 121.21956,Y
6080,富里,Fuli,富里,Fuli,花蓮縣富里鄉富里村車站街 56 號,"No. 56, Chezhan St., Fuli Township, Hualien County",03-8831771,23.17924 121.24864,Y
6090,東竹,Dongzhu,東竹,Dongzhu,花蓮縣富里鄉新興村新興 26 號,"No. 26, Xinxing, Fuli Township, Hualien County",03-8821504,23.22605 121.27842,Y
6100,東里,Dongli,東里,Dongli,花蓮縣富里鄉東里村大莊路 15 之 6 號,"No. 15-6, Dazhuang Rd., Fuli Township, Hualien County",03-8861005,23.27234 121.30418,Y
6110,玉里,Yuli,玉里,Yuli,花蓮縣玉里鎮中城里康樂街 39 號,"No. 39, Kangle St., Yuli Township, Hualien County",03-8882020,23.33155 121.31172,Y
6120,三民,Sanmin,三民,Sanmin,花蓮縣玉里鎮三民里三民 10 號,"No. 10, Sanmin, Yuli Township, Hualien County",03-8841847,23.42458 121.34539,N
6130,瑞穗,Ruisui,瑞穗,Ruisui,花蓮縣瑞穗鄉瑞穗村四維街 13 號,"No. 13, Siwei St., Ruisui Township, Hualien County",03-8875039,23.49749 121.37683,Y
6140,富源,Fuyuan,富源,Fuyuan,花蓮縣瑞穗鄉富源村富源路 2 號,"No. 2, Fuyuan Rd., Ruisui Township, Hualien County",03-8811824,23.58031 121.38008,Y
6150,大富,Dafu,大富,Dafu,花蓮縣光復鄉大富村明德路 1 號,"No. 1, Mingde Rd., Guangfu Township, Hualien County",03-8811824,23.60571 121.38963,N
6160,光復,Guangfu,光復,Guangfu,花蓮縣光復鄉大安村中正路一段 2 之 1 號,"No. 2-1, Sec. 1, Zhongzheng Rd., Guangfu Township, Hualien County",03-8704143,23.66631 121.42117,Y
6170,萬榮,Wanrong,萬榮,Wanrong,花蓮縣鳳林鎮長橋里長德街 17 號,"No. 17, Changde St., Fenglin Township, Hualien County",03-8752175,23.71199 121.41907,Y
6180,鳳林,Fenglin,鳳林,Fenglin,花蓮縣鳳林鎮鳳智里中山路 43 號,"No. 43, Zhongshan Rd., Fenglin Township, Hualien County",03-8762004,23.74634 121.447,Y
6190,南平,Nanping,南平,Nanping,花蓮縣鳳林鎮南平里自強路 233 號,"No. 233, Ziqiang Rd., Fenglin Township, Hualien County",03-8771597,23.78231 121.45824,Y
6200,林榮新光,Linrong Shin Kong,林榮新光,Linrong Shin Kong,花蓮縣鳳林鎮兆豐路800號,"No. 800, Chaofeng Rd., Fenglin Township, Hualien County",03-8772677,23.80225 121.46205,Y
6210,豐田,Fengtian,豐田,Fengtian,花蓮縣壽豐鄉豐山村站前街 36 號,"No. 36, Zhanqian St., Shoufeng Township, Hualien County",03-8654251,23.84842 121.49618,N
6220,壽豐,Shoufeng,壽豐,Shoufeng,花蓮縣壽豐鄉壽豐村壽山路 1 號,"No. 1, Shoushan Rd., Shoufeng Township, Hualien County",03-8653706,23.86901 121.51064,Y
6230,平和,Pinghe,平和,Pinghe,花蓮縣壽豐鄉平和村平和路 1 號,"No. 1, Pinghe Rd., Shoufeng Township, Hualien County",03-8653706,23.88279 121.52045,N
6240,志學,Zhixue,志學,Zhixue,花蓮縣壽豐鄉志學村中正路 1 號,"No. 1, Zhongzheng Rd., Shoufeng Township, Hualien County",03-8662966,23.90769 121.5295,Y
6250,吉安,Ji'an,吉安,Ji'an,花蓮縣吉安鄉南昌村南昌路1號,"No. 200, Nanchang Rd., Ji`an Township, Hualien County",03-8539423,23.96823 121.58266,Y
7000,花蓮,Hualien,花蓮,Hualien,花蓮縣花蓮市國聯里國聯一路 100 號,"No. 100, Guolian 1st Rd., Hualian City, Hualien County",03-8355941,23.99264 121.60158,Y
7010,北埔,Beipu,北埔,Beipu,花蓮縣新城鄉北埔村自強街 113 號,"No. 113, Ziqiang St., Xincheng Township, Hualien County",03-8263809,24.03253 121.60166,N
7020,景美,Jingmei,景美,Jingmei,花蓮縣秀林鄉景美村加灣 178 之 1 號,"No. 178-1, Jiawan, Xiulin Township, Hualien County",03-8611237,24.09038 121.61099,N
7030,新城,Xincheng,新城,Xincheng,花蓮縣新城鄉新城村新興一路 73 號,"No. 73, Xinxing 1st Rd., Xincheng Township, Hualien County",03-8611237,24.12756 121.64086,Y
7040,崇德,Chongde,崇德,Chongde,花蓮縣秀林鄉崇德村海濱路 96 號,"No. 96, Haibin Rd., Xiulin Township, Hualien County",03-8621365,24.17199 121.65536,Y
7050,和仁,Heren,和仁,Heren,花蓮縣秀林鄉和平村和仁 71 號,"No. 71, Heren, Xiulin Township, Hualien County",03-8681221,24.24225 121.71182,N
7060,和平,Heping,和平,Heping,花蓮縣秀林鄉和平村和平 276 號,"No. 276, Heping, Xiulin Township, Hualien County",03-8681009,24.29826 121.75327,Y
7070,漢本,Hanben,漢本,Hanben,宜蘭縣南澳鄉澳花村蘇花路一段 56 號,"No. 56, Sec. 1, Suhua Rd., Nan`ao Township, Yilan County",03-9985238,24.33545 121.76829,N
7080,武塔,Wuta,武塔,Wuta,宜蘭縣南澳鄉武塔村新溪路 18 號,"No. 18, Xinxi Rd., Nan`ao Township, Yilan County",03-9981971,24.44879 121.77601,N
7090,南澳,Nan'ao,南澳,Nan'ao,宜蘭縣蘇澳鎮南強里大通路 22 號,"No. 22, Datong Rd., Su`ao Township, Yilan County",03-9981971,24.46342 121.80103,Y
7100,東澳,Dong'ao,東澳,Dong'ao,宜蘭縣南澳鄉東岳村東岳路 1 號,"No. 1, Dongyue Rd., Nan`ao Township, Yilan County",03-9986053,24.51827 121.83072,Y
7110,永樂,Yongle,永樂,Yongle,宜蘭縣蘇澳鎮永樂里圳頭路 60 號,"No. 60, Zuntou Rd., Su`ao Township, Yilan County",03-9961889,24.56843 121.84458,N
7120,蘇澳,Su'ao,蘇澳,Su'ao,宜蘭縣蘇澳鎮蘇南里太平路 1 號,"No. 1, Taiping Rd., Su`ao Township, Yilan County",03-9962028,24.59516 121.85143,Y
7130,蘇澳新,Su'aoxin,蘇澳新,Su'aoxin,宜蘭縣蘇澳鎮聖愛里中山路二段 238 號,"No. 238-1, Sec. 2, Zhongshan Rd., Su`ao Township, Yilan County",03-9961004,24.60852 121.82735,Y
7140,新馬,Xinma,新馬,Xinma,宜蘭縣蘇澳鎮新城里中山路二段 322 號,"No. 322, Sec. 2, Zhongshan Rd., Su`ao Township, Yilan County",03-9961004,24.61535 121.82292,N
7150,冬山,Dongshan,冬山,Dongshan,宜蘭縣冬山鄉冬山村中正路 1 -1號,"No. 1, Zhongzheng Rd., Dongshan Township, Yilan County",03-9594221,24.63633 121.79211,Y
7160,羅東,Luodong,羅東,Luodong,宜蘭縣羅東鎮大新里公正路 2 號,"No. 2, Gongzheng Rd., Luodong Township, Yilan County",03-9542117,24.67795 121.77424,Y
7170,中里,Zhongli_Yilan,中里,Zhongli_Yilan,宜蘭縣五結鄉中里路,"No. 10, Taixing Rd., Wujie Township, Yilan County",03-9542117,24.69415 121.77526,N
7180,二結,Erjie,二結,Erjie,宜蘭縣五結鄉五結中路三段658巷8號,"No. 8,Lane 658,WuJie Central Rd. Sec.3, Wujie Township, Yilan County",03-9650304,24.70528 121.77409,N
7190,宜蘭,Yilan,宜蘭,Yilan,宜蘭縣宜蘭市和睦里光復路 1 號,"No. 1, Guangfu Rd., Yilan City, Yilan County",03-9323801,24.75462 121.75791,Y
7200,四城,Sicheng,四城,Sicheng,宜蘭縣礁溪鄉吳沙村站前路 24 號,"No. 24, Zhanqian Rd., Jiaoxi Township, Yilan County",03-9282449,24.78681 121.76271,N
7210,礁溪,Jiaoxi,礁溪,Jiaoxi,宜蘭縣礁溪鄉德陽村溫泉路 1 號,"No. 1, Wenquan Rd., Jiaoxi Township, Yilan County",03-9886940,24.82703 121.77535,Y
7220,頂埔,Dingpu,頂埔,Dingpu,宜蘭縣頭城鎮下埔里下埔路 4 之 8 號,"No. 4-8, Xiapu Rd., Toucheng Township, Yilan County",03-9771429,24.8439 121.80913,N
7230,頭城,Toucheng,頭城,Toucheng,宜蘭縣頭城鎮纘祥路 59 號,"No. 59, Zuanxiang Rd., Toucheng Township, Yilan County",03-9771429,24.85891 121.82256,Y
7240,外澳,Wai'ao,外澳,Wai'ao,宜蘭縣頭城鎮濱海路二段 217 號,"No. 217, Sec. 2, Binhai Rd., Toucheng Township, Yilan County",03-9771429,24.88375 121.84572,N
7250,龜山,Guishan,龜山,Guishan,宜蘭縣頭城鎮更新里濱海路三段 261 號,"No. 261, Sec. 3, Binhai Rd., Toucheng Township, Yilan County",03-9770351,24.90484 121.8689,N
7260,大溪,Daxi,大溪,Daxi,宜蘭縣頭城鎮濱海路五段 63 號,"No. 63, Sec. 5, Binhai Rd., Toucheng Township, Yilan County",03-9771429,24.93836 121.88983,N
7270,大里,Dali,大里,Dali,宜蘭縣頭城鎮大里里濱海路六段 326 號,"No. 326, Sec. 6, Binhai Rd., Toucheng Township, Yilan County",03-9781171,24.96677 121.92253,N
7280,石城,Shicheng,石城,Shicheng,宜蘭縣頭城鎮濱海路七段 230 號,"No. 230, Sec. 7, Binhai Rd., Toucheng Township, Yilan County",03-9771429,24.97832 121.94507,N
7290,福隆,Fulong,福隆,Fulong,新北市貢寮區福隆里福隆街 2 號,"No. 2, Fulong St., Gongliao Dist., New Taipei City",02-24991800,25.01595 121.94471,Y
7300,貢寮,Gongliao,貢寮,Gongliao,新北市貢寮區貢寮里朝陽街 33 號,"No. 33, Chaoyang St., Gongliao Dist., New Taipei City",02-24941500,25.02197 121.90879,Y
7310,雙溪,Shuangxi,雙溪,Shuangxi,新北市雙溪區新基里朝陽街 1 號,"No. 1, Chaoyang St., Shuangxi Dist., New Taipei City",02-24932980,25.03851 121.86654,Y
7320,牡丹,Mudan,牡丹,Mudan,新北市雙溪區牡丹里51號,"No. 159, Mudan Rd., Shuangxi Dist., New Taipei City",02-24932980,25.05871 121.85197,N
7330,三貂嶺,Sandiaoling,三貂嶺,Sandiaoling,新北市瑞芳區碩仁里魚寮路 1 號,"No. 1, Yuliao Rd., Ruifang Dist., New Taipei City",02-24977896,25.06556 121.82263,N
7331,大華,Dahua,大華,Dahua,新北市平溪區南山里六分 12 之 1 號,"No. 12-1, Liufen, Pingxi Dist., New Taipei City",02-24972033,25.04998 121.79732,N
7332,十分,Shifen,十分,Shifen,新北市平溪區十分里十分街 51 號,"No. 51, Shifen St., Pingxi Dist., New Taipei City",02-24958307,25.04111 121.77514,N
7333,望古,Wanggu,望古,Wanggu,新北市平溪區望古里 (無站房),"Wanggu Vil. (No Station Building), Pingxi Dist., New Taipei City",02-24972033,25.03445 121.76349,N
7334,嶺腳,Lingjiao,嶺腳,Lingjiao,新北市平溪區嶺腳里嶺腳寮 22 號,"No. 22, Lingjiaoliao, Pingxi Dist., New Taipei City",02-24972033,25.03021 121.74794,N
7335,平溪,Pingxi,平溪,Pingxi,新北市平溪區平溪里中華街 12 號,"No. 12, Zhonghua St., Pingxi Dist., New Taipei City",02-24972033,25.02571 121.74019,N
7336,菁桐,Jingtong,菁桐,Jingtong,新北市平溪區菁桐里菁桐街 52 號,"No. 52, Jingtong St., Pingxi Dist., New Taipei City",02-24972033,25.02391 121.72391,N
7350,猴硐,Houtong,猴硐,Houtong,新北市瑞芳區光復里柴寮路 70 號,"No. 70, Chailiao Rd., Ruifang Dist., New Taipei City",02-24977747,25.08702 121.82743,Y
7360,瑞芳,Ruifang,瑞芳,Ruifang,新北市瑞芳區龍潭里明燈路三段 82 號,"No. 82, Sec. 3, Mingdeng Rd., Ruifang Dist., New Taipei City",02-24972033,25.10861 121.80596,Y
7361,海科館,Haikeguan,海科館,Haikeguan,基隆市中正區長潭里,"Changtan Vil., Zhongzheng Dist., Keelung City",02-24972033,25.13754 121.79997,N
7362,八斗子,Badouzi,八斗子,Badouzi,新北市瑞芳區建基路2段121號隔壁 砂子里省道臺 2 線 (與新北市瑞芳區交界處、無站房),"Provincial Highway 2 (Junction of Ruifang Dist., New Taipei City, No Station Building), Ruifang Dist., New Taipei City",02-24972033,25.13545 121.80261,N
7380,四腳亭,Sijiaoting,四腳亭,Sijiaoting,新北市瑞芳區吉慶里中央路 65 號,"No. 65, Zhongyang Rd., Ruifang Dist., New Taipei City",02-24579346,25.10281 121.76195,N
7390,暖暖,Nuannuan,暖暖,Nuannuan,基隆市暖暖區暖暖里暖暖街 51 號,"No. 66, Nuannuan St., Nuannuan Dist., Keelung City",02-24560841,25.10231 121.74031,N
